DB태그,표준역량ID,표준역량명,조직보유수준,전이출처,근거
3D 분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
3D 형상분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
객체검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
객체인식,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
검출·분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
결함분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
균열·침식 분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
미세객체검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
블레이드 검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
사람·PPE 검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
포즈추정,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
플룸 분할,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
해상 객체검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
화재·연기 검출,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
희소결함 탐지,CAP_DETECT,객체 검출·분할,5,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지"
데이터정규화,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
데이터증강합성,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
데이터품질,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
색상 보정,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
생성모델,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
지속학습,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
초해상도,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
클래스불균형,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
합성데이터,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
희귀 데이터 불균형 처리,CAP_SYNTH,데이터 증강·합성·품질,5,,특허 분류 D 6건 · '25년 자동 레이블링 20만장
DICOM·PACS 연동,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
X-ray 분류,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
수의(어류) 영상진단 AI,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
심장주기 탐지,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
영상 검출·분류 AI,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
영상진단 AI,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
영상질환진단 전이,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
의료데이터,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
초음파 영상분할,CAP_VISION,영상 질환·객체 진단 AI,5,,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%"
ASR,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
감정·억양 분석,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
음성인식,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
음향/오디오,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
음향신호처리,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
화자분리,CAP_AUDIO,음향·음성 AI,4,,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형"
결함분류,CAP_CLASSIFY,상태·유형 분류,4,,특허 분류 A — 유증상 장기 분류·시각화 (도메인 전이 필요)
고장분류,CAP_CLASSIFY,상태·유형 분류,4,,특허 분류 A — 유증상 장기 분류·시각화 (도메인 전이 필요)
수의 도메인 지식,CAP_DOM_VET,수의·축산 도메인 지식,4,,수의사 면허 인력(노다혜) + 수의대 산학 네트워크
수의 도메인 지식(곤충 질병),CAP_DOM_VET,수의·축산 도메인 지식,4,,수의사 면허 인력(노다혜) + 수의대 산학 네트워크
수의 도메인 지식(종 식별),CAP_DOM_VET,수의·축산 도메인 지식,4,,수의사 면허 인력(노다혜) + 수의대 산학 네트워크
수의 도메인 지식(종·행동 판독),CAP_DOM_VET,수의·축산 도메인 지식,4,,수의사 면허 인력(노다혜) + 수의대 산학 네트워크
수의/축산 도메인 지식,CAP_DOM_VET,수의·축산 도메인 지식,4,,수의사 면허 인력(노다혜) + 수의대 산학 네트워크
결실부 추정,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
기준면 추정,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
기하특징 추출,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
변형·간극 계측,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
불확실성 추정,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
손상등급,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
영상계측,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
오차전파,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
오차추정,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
정량계측,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
체적계측,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
측정불확도,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
품질평가,CAP_MEASURE,정량 계측,4,,특허 분류 B 3건 — VHS/CTR/TPA 상용화
멀티모달,CAP_MULTIMODAL,멀티모달 학습,4,,특허 분류 F 3건 — 이미지×텍스트×음성 결합
API,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
GPU 모니터링,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
MLOps,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
Triton,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
경량화,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
다중모델,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
동적배칭,CAP_SERVING,클라우드 서빙·모델 운영,4,,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)"
