표준역량ID,표준역량명,LLM용설명,조직보유수준,전이출처,역량성격,특허분류,특허건수,로드맵연계,전담인력,근거,DB태그수
CAP_DETECT,객체 검출·분할,이미지·영상에서 객체나 결함을 검출하고 영역을 분할한다,5,,수행작업,C.검출·분할,3,핵심,,"특허 분류 C 3건 — 결석 검출, 인스턴스 분할, 객체 탐지",15
CAP_SYNTH,데이터 증강·합성·품질,학습데이터를 증강·합성하고 라벨 품질과 클래스 불균형을 관리한다,5,,수행작업,D.데이터 품질·증강·합성,6,핵심,최윤재·임하늘,특허 분류 D 6건 · '25년 자동 레이블링 20만장,10
CAP_VISION,영상 질환·객체 진단 AI,영상(X-ray·CT·초음파 등)에서 질환·이상을 진단하고 분류한다,5,,입력유형,A.영상 질환 진단,6,핵심,윤서진·박도현,"특허 분류 A 6건 · 엑스칼리버 상용화, 판독 합치율 84~97%",9
CAP_AUDIO,음향·음성 AI,음향·음성 신호를 처리해 인식·분류·감정 판별한다,4,,입력유형,G.음성·오디오,5,핵심,서지우,"특허 분류 G 5건 — 음성 스트레스 판별, 음향 변형",6
CAP_CLASSIFY,상태·유형 분류,결함·고장의 유형을 분류한다,4,,수행작업,A.영상 질환 진단,6,핵심,,특허 분류 A — 유증상 장기 분류·시각화 (도메인 전이 필요),2
CAP_DOM_VET,수의·축산 도메인 지식,수의·축산 도메인 지식 (동물 질병·종 식별·행동 판독),4,,도메인,,0,,노다혜(수의사 면허),수의사 면허 인력(노다혜) + 수의대 산학 네트워크,5
CAP_MEASURE,정량 계측,영상·데이터에서 치수·체적·비율을 정량 계측하고 오차를 추정한다,4,,수행작업,B.정량 계측,3,핵심,강태우,특허 분류 B 3건 — VHS/CTR/TPA 상용화,13
CAP_MULTIMODAL,멀티모달 학습,영상·음성·텍스트 등 서로 다른 모달리티를 결합해 학습한다,4,,입력유형,F.멀티모달,3,확장,,특허 분류 F 3건 — 이미지×텍스트×음성 결합,1
CAP_SERVING,클라우드 서빙·모델 운영,모델을 클라우드·온프레미스에 서빙하고 버전과 자원을 운영한다,4,,기반,,0,,정민석,"30초 내 웹 응답, 무서버 병원 배포 (특허 미확보)",17
CAP_CLINICAL,임상 검증·판독 품질관리,임상 검증 프로토콜을 설계하고 전문가 검수로 판독 품질을 관리한다,3,,기반,,0,,윤서진·노다혜,윤서진 임상검증 프로토콜 · 노다혜 Ground Truth 품질관리 (특허 미반영),3
CAP_GEO,위치기반·모빌리티,"위치·지도 데이터를 처리한다 (GIS, 좌표계 통합, 정밀 측위)",3,,입력유형,I.위치기반·모빌리티,7,미연계,강태우(T map 4년),"특허 분류 I 7건 — 현 로드맵 미연계 (유휴 역량, 팀장 T map 4년)",7
CAP_BIO,바이오마커·오믹스 분석,바이오마커·유전자·오믹스 데이터를 분석한다,2,,입력유형,H.바이오마커,1,개발 단계,한예은,특허 분류 H 1건 — 마이크로바이옴 개발 단계,8
CAP_EDGE,엣지·저지연 추론,엣지 장치나 인라인 공정에서 저지연 실시간 추론을 수행한다,2,CAP_SERVING,기반,,0,,정민석,정민석 저지연 최적화 담당 · 단 조직 실적은 30초급 웹 응답,7
CAP_LLM,LLM·RAG·자연어,대규모 언어모델·RAG로 문서를 검색하고 요약·분류한다,2,,입력유형,,0,,오재혁,"'25년 착수, A.Pet 초기 개발 (특허 0건)",5
CAP_VIZ,판독 결과 시각화,분석 결과를 웹 화면으로 시각화한다,1,,기반,E.촬영 보조,1,보조,,특허 '유증상 장기 분류·시각화' 1건,1
CAP_3D,3D 재구성·포인트클라우드,LiDAR·사진측량으로 3D를 재구성하고 포인트클라우드를 정합한다,0,CAP_VISION,입력유형,,0,,,관련 특허 없음 — 영상 처리 기법에서 일부 전이 가능,9
CAP_DOM_AGRI,농업 현장 도메인 지식,농업 현장 도메인 지식,0,CAP_DOM_VET,도메인,,0,,,수의·축산 인접 — 전담 인력 없음,1
CAP_DOM_ENV,환경·생태 도메인 지식,환경·생태 도메인 지식,0,,도메인,,0,,,전담 인력 없음,2
CAP_DOM_FOOD,식품·발효 도메인 지식,식품·발효 도메인 지식,0,,도메인,,0,,,전담 인력 없음,1
CAP_INTEG_IND,산업 설비·시스템 연동,"산업 설비·시스템과 연동한다 (MES·QMS·CMMS·SCADA, 원격관제)",0,,기반,,0,,,제조 현장 파트너 없음 · 관련 경험 0건,10
CAP_MEASURE_IND,제조 공차·형상 계측,"제조 공차·형상을 계측한다 (GD&T, CAD 대비, CMM)",0,CAP_MEASURE,수행작업,,0,,,정량계측 특허 3건 보유 — 제조 표준(GD&T) 지식은 미보유,3
CAP_OPTIMIZE,물리·공정 최적화 모델,"물리·공정 최적화 모델을 만든다 (열역학, 배출량 역산)",0,,수행작업,,0,,,열역학·환경 모델링 역량 없음,2
CAP_REGULATORY,규제 대응·기록관리,규제에 대응하고 리포팅·기록을 관리한다,0,,기반,,0,,,조직개요 명시 — 사업화·인허가는 별도 조직 협업,3
CAP_ROBOT,자율주행·비행·드론 운영,자율주행·자율비행·드론을 운영하고 충돌을 회피한다,0,CAP_GEO,기반,,0,,,위치기반 유휴 특허 7건에서 일부 전이 가능,6
CAP_SECURITY,보안·프라이버시,보안·사이버보안·개인정보 비식별화를 처리한다,0,,기반,,0,,,관련 특허·역량 없음,4
